👤UserName,⭐Rating,📝Content,💬DeveloperReply,📆Review_Year,📅Review_Month,📅Review_Day,⏰Review_Hour_12,🌓Review_AM_PM,🕰️Review_Period,🔢Comment_Length,📆Reply_Year,📅Reply_Month,📅Reply_Day,⏰Reply_Hour_12,🌓Reply_AM_PM,🧹Content_Clean,🎯 Theme,🧩 Subtheme,😊 Sentiment,🖊️ Notes,🌐 Language,Theme_GT,Subtheme_GT,Sentiment_GT
Qw Po,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,9,PM,Evening,5,2025,8,7,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Omer Alnoor,5,افضل..,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,8,PM,Evening,6,2025,8,7,8,AM,افضل,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
مصطفي ابراهيم,5,تطبيق رائع,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,7,PM,Evening,10,2025,8,7,8,AM,تطبيق رائع,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Wassim aj,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,7,PM,Evening,5,2025,8,7,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
اروى الضفيان,5,الله يجزاهم خير ممتاز جدا التطبيق ومريح كنت لازم كل مره اروح المستشفى اصرف ادويه الربو الحين اقدر بالمواعيد اللي عن بعد ويصرفونها لي,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,6,PM,Evening,132,2025,8,7,8,AM,يجزاهم خير ممتاز جدا التطبيق ومريح كنت لازم كل مرة اروح المستشفي اصرف ادويه الربو الحين اقدر بالمواعيد اللي عن بعد ويصرفونها لي,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عبودي الكاسر,5,مواعيد سهله وسريعه,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,3,PM,Afternoon,18,2025,8,6,3,PM,مواعيد سهله وسريعه,Content & Services,Appointment Booking,Positive,NA,Arabic,Content & Services,Appointment Booking,Positive
Hatim Abdalrhman,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,2,PM,Afternoon,5,2025,8,6,3,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Spanul Ksa,5,👍👍👍👍👍ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,2,PM,Afternoon,10,2025,8,6,2,PM,👍👍👍👍👍ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Hd D,5,تنزيل تلقاء,NA,2025,8,6,1,PM,Afternoon,11,NA,NA,NA,NA,NA,تنزيل تلقاء,Content & Services,Reports / Documents,Neutral,NA,Arabic,Content & Services,Reports / Documents,Neutral
خليل الشجاع,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,11,AM,Morning,5,2025,8,6,12,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
توفيق صالح,5,جيد جداً,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,11,AM,Morning,8,2025,8,6,12,PM,جيد جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
سلمان الفقيه,5,بارك الله فيكم جميعا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,10,AM,Morning,20,2025,8,6,11,AM,بارك فيكم جميعا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
أحمد المطيري,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,10,AM,Morning,5,2025,8,6,10,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
mo elareny,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,10,AM,Morning,5,2025,8,6,10,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Mostafa Gaber,4,شكر,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,9,AM,Morning,3,2025,8,6,10,AM,شكر,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
محمد الزبيدي,5,احسن تطبيق,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,9,AM,Morning,10,2025,8,6,10,AM,احسن تطبيق,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Moshera Saleh,5,جزاكم الله خير الجزاء,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,9,AM,Morning,21,2025,8,6,10,AM,جزاكم خير الجزاء,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
واحد وواحد,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,9,AM,Morning,5,2025,8,6,10,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابو علي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,8,AM,Morning,5,2025,8,6,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
‪Mahdi Ghafairi (Moodk116)‬‏,1,مشكلة أمنية حرجة: يجب إغلاق التطبيق بسبب تهديدات أمنية حرجة. المشكلات المكتشفة: نظام توقيع غير صالح (ثغرة أمنية في جانوس),"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,8,6,7,AM,Morning,121,2025,8,6,11,AM,مشكلة امنية حرجة: يجب اغلاق التطبيق بسبب تهديدات امنية حرجة. المشكلات المكتشفة: نظام توقيع غير صالح (ثغرة امنية في جانوس),Security & Support,Privacy / Permissions,Negative,NA,Arabic,Security & Support,Privacy / Permissions,Negative
Faris,2,التطبيق لايعمل بشكل جيد,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,8,6,7,AM,Morning,23,2025,8,6,8,AM,التطبيق لا يعمل بشكل جيد,User Experience & Sentiment,Overall Satisfaction,Negative,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Negative
سلطان المطرفي,4,تطبيق ممتاز لكن تواجهني مشكله في حجز المواعيد اخر خطوة بعد مااختار طب الأسره او غيره يطول كثير لين يفتح يمكن المشكله من جهازي ماادري بصراحه لكنها مسببه لي مشكله,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,8,6,7,AM,Morning,160,2025,8,6,8,AM,تطبيق ممتاز لكن تواجهني مشكلة في حجز المواعيد اخر خطوة بعد مااختار طب الاسره او غيره يطول كثير لين يفتح يمكن المشكلة من جهازي ماادري بصراحه لكنها مسببه لي مشكلة,Content & Services,Appointment Booking,Negative,NA,Arabic,Content & Services,Appointment Booking,Negative
Ahmed Ahmed,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,6,AM,Morning,5,2025,8,6,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابو راكان فهد الغامدي,5,لا بأس جيد,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,6,AM,Morning,10,2025,8,6,8,AM,لا باس جيد,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
أبو محمد Albakhet,5,ممتاز جدا جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,3,AM,Night,13,2025,8,6,8,AM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
refaat refaat,5,صحتي مصدر ثقتي,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,6,1,AM,Night,14,2025,8,6,8,AM,صحتي مصدر ثقتي,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
بسام محمد صالح حميضه,5,جيد جداً,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,11,PM,Night,8,2025,8,6,8,AM,جيد جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ام ريما وفاء,3,شكراً صحتي,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,10,PM,Night,10,2025,8,6,8,AM,شكرا صحتي,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Hhg Xxx,5,جيد,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,10,PM,Night,3,2025,8,6,8,AM,جيد,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
منصور البلوشي,5,روعه,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,8,PM,Evening,4,2025,8,6,8,AM,روعة,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابو نايف,5,السلام عليكم شكرا لكم من القلب على اهتمامك المواطن والمقيم وحتى الزائر ويوجد لي ملاحضه الاوهي انشاء تطبيق نسخه ثانيه خاص الشكاوي مع ارفاق المبررات صوره لان والله معاني خاصه من المستوصفات الخاصه بالأسنان بدون تحديد اوذكر مواقع وبشكل عاجل عاجل عاجل جدا وشكرا لك من القلب,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,8,PM,Evening,268,2025,8,6,3,PM,شكرا لكم من القلب علي اهتمامك المواطن والمقيم وحتي الزاير ويوجد لي ملاحضه الاوهي انشاء تطبيق نسخه ثانيه خاص الشكاوي مع ارفاق المبررات صوره لان والله معاني خاصه من المستوصفات الخاصه بالاسنان بدون تحديد اوذكر مواقع وبشكل عاجل جدا وشكرا لك من القلب,User Experience & Sentiment,Onboarding,Positive,NA,Arabic,User Experience & Sentiment,Onboarding,Positive
منصور حنيش,3,جيد جدا اش كركم جزاكم الله خير الاحياء,we would like to thank for your feedback on the app and sharing your experience with us.,2025,8,5,7,PM,Evening,38,2025,8,6,8,AM,جيد جدا ايش كركم جزاكم خير الاحياء,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
تينا 1,5,ممتاز جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,5,PM,Afternoon,9,2025,8,5,6,PM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابوعلي,5,ممتاز ☆☆☆☆☆👍🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦👍👍👍🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦👍,"Thanks, for the feedback on your experience we sincerely appreciate your insight.",2025,8,5,5,PM,Afternoon,42,2021,10,11,3,PM,ممتاز ☆☆☆☆☆👍🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦👍👍👍🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Abdul Majed,5,شكراا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,4,PM,Afternoon,5,2025,8,5,6,PM,شكراً,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
الجالودي موبايل,1,روعه,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,4,PM,Afternoon,4,2025,8,5,4,PM,روعة,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
يوسف نور,5,طتعيم,NA,2025,8,5,1,PM,Afternoon,5,NA,NA,NA,NA,NA,طتعيم,Content & Services,Records / Vaccination,Neutral,NA,Arabic,Content & Services,Records / Vaccination,Neutral
Abu Ameer,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,12,PM,Afternoon,5,2025,8,5,12,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
رحيب سعيد محمد,5,حلو جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,12,PM,Afternoon,7,2025,8,5,12,PM,حلو جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
FRE E,5,جداً ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,11,AM,Morning,10,2025,8,5,12,PM,جدا ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
احمد المغربي,5,جيده ومريحه وسهله,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,10,AM,Morning,17,2025,8,5,11,AM,جيده ومريحه وسهله,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
Duid Jdid,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,10,AM,Morning,5,2025,8,5,10,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
‪Saleh “Khan” Khan‬‏,5,👍,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,8,5,6,AM,Morning,1,2025,8,5,8,AM,👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
معتصم الدهيش,5,جميل جداً رؤؤؤؤعه,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,1,AM,Night,17,2025,8,5,8,AM,جميل جدا روعة,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ابو مشاري,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,1,AM,Night,5,2025,8,5,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
حمزة المخلافي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,1,AM,Night,5,2025,8,5,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
فاطمه حجر,5,م.م.ت.ا.ز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,5,12,AM,Night,9,2025,8,5,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عبدالله شفيع,5,رائع,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,11,PM,Night,4,2025,8,5,8,AM,رائع,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Ahmed Ballh,5,ممتاز جدا ماشاءالله خدمه مليون/من مليون 😇,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,11,PM,Night,41,2025,8,5,8,AM,ممتاز جدا ماشاءالله خدمه مليون/من مليون 😇,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
XXsmzXX,1,سويت موعد والغيته بعدين جيت اسوي موعد جديد مافيه مواعيد رغم انه مضى على الالغاء اكثر من ٢٤ ساعة نرجوا الاصلاح.,"شاكرين لك وقتك وتقييمك كما يمكنكم التواصل مع مركز اتصال الصحة 937 عبر حساباتهم الرسمية:
- منصة X:
‏ @SaudiMOH937
او من خلال الاتصال بالرقم: 937",2025,8,4,11,PM,Night,110,2025,8,5,9,AM,سويت موعد والغيته بعدين جيت اسوي موعد جديد مافيه مواعيد رغم انه مضي علي الالغاء اكثر من ٢٤ ساعة نرجوا الاصلاح.,Content & Services,Appointment Booking,Negative,NA,Arabic,Content & Services,Appointment Booking,Negative
يوسف محمد,5,ممتازه,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,10,PM,Night,6,2025,8,5,8,AM,ممتازة,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
عبداللة صبحي,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,9,PM,Evening,5,2025,8,5,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
شقاويه الجنوبي,3,تطبيق جيد لكن للأسف تتأخر به اصدار التقارير,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,8,4,8,PM,Evening,43,2025,8,5,9,AM,تطبيق جيد لكن للاسف تتاخر به اصدار التقارير,Content & Services,Reports / Documents,Negative,NA,Arabic,Content & Services,Reports / Documents,Negative
عبدالرحمن حميد,5,خدمته ممتازة,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,8,PM,Evening,12,2025,8,5,8,AM,خدمته ممتازة,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
دمن لتت,5,ممتاز جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,7,PM,Evening,9,2025,8,5,8,AM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Yasser Massoud,1,التحديث الاخير لم يعمل معي,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في منصة X : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa""",2025,8,4,5,PM,Afternoon,26,2025,8,4,7,PM,التحديث الاخير لم يعمل معي,Technical Performance,Stability,Negative,NA,Arabic,Technical Performance,Stability,Negative
شوشو السعن,5,الحمدالله,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,5,PM,Afternoon,9,2025,8,4,7,PM,الحمدالله,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
syed Hemmat,5,👍,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,8,4,1,PM,Afternoon,1,2025,8,4,2,PM,👍,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
محمد,5,الله يجزاكم بالخير,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,1,PM,Afternoon,18,2025,8,4,2,PM,يجزاكم بالخير,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Aaa Aaa,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,1,PM,Afternoon,5,2025,8,4,2,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Ahmed Ahmed,5,افضل تطبيق,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,12,PM,Afternoon,10,2025,8,4,2,PM,افضل تطبيق,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Khald Bokhary,5,جميل جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,12,PM,Afternoon,8,2025,8,4,12,PM,جميل جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
ياسر قدحه,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,4,9,AM,Morning,5,2025,8,4,10,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
